schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date
1.0,RESEARCH_PAPER,DreamFly: Causal Memory and Receding-Horizon Diffusion Planning for Aerial Vision-Language Navigation,"Yan Deng, Fei Xu",http://arxiv.org/abs/2608.12308v1,,0,2026-08-12T17:54:33Z
1.0,RESEARCH_PAPER,AI4AI at Test-Time: Strong-to-Weak Capability Transfer via Harnesses,"Cheng Qian, Wenting Zhao, Liangwei Yang, Heng Wang, Jielin Qiu, Heng Ji, Silvio Savarese, Huan Wang, Shelby Heinecke",http://arxiv.org/abs/2608.12307v1,,0,2026-08-12T17:53:18Z
1.0,RESEARCH_PAPER,Redistribution-based Cost Inference Improves Sparse Safe Offline RL,"Ebenezer Gelo, Geraud Nangue Tasse, Steven James, Benjamin Rosman",http://arxiv.org/abs/2608.12306v1,,0,2026-08-12T17:53:15Z
1.0,RESEARCH_PAPER,Constructing Dynamic Master Logic Models as Knowledge Graphs for Complex System Diagnostics Using Retrieval-Augmented Large Language Models,"Saman Marandi, Yu-Shu Hu, Mohammad Modarres",http://arxiv.org/abs/2608.12304v1,,0,2026-08-12T17:50:39Z
1.0,RESEARCH_PAPER,"Class Activation Mapping in Explainable Computer Vision: A Method-Centered Review of CNN, Transformer, and Foundation-Model-Era Visual Explanations","AmirHossein Eshghi, Hamid Saadatfar, Seyyed Ali Hoseini, AmirMohsen Eshghi, Siavash Arjomand Bigdel",http://arxiv.org/abs/2608.12299v1,,0,2026-08-12T17:45:03Z
1.0,RESEARCH_PAPER,Beyond Trial-and-Error: Agentic Optimization for Image-to-Video Adherence,"Aman Tyagi, Hemanth Boinpally, Jonathan Chen, Douglas Gebert, Steven Hickson",http://arxiv.org/abs/2608.12290v1,,0,2026-08-12T17:35:16Z
1.0,RESEARCH_PAPER,VAKRA: Evaluating Multi-Hop Reasoning Across APIs and Retrieval Under Tool-Use Policies,"Ankita Rajaram Naik, Anupama Murthi, Benjamin Elder, Siyu Huo, Raavi Gupta, Abhinav Jain, Praveen Venkateswaran, Abdulhamid Adebayo, Danish Contractor",http://arxiv.org/abs/2608.12282v1,,0,2026-08-12T17:27:27Z
1.0,RESEARCH_PAPER,Structural Silence: When AI Infrastructure Fails Speakers of Underrepresented Languages,"Avijit Roy, Proma Roy",http://arxiv.org/abs/2608.12278v1,,0,2026-08-12T17:17:25Z
1.0,RESEARCH_PAPER,A Neighborhood Attention Transformer Network for Enhanced 3D Segmentation of the Left Anterior Descending Artery,"Rafi Ibn Sultan, Chengyin Li, Yiannos Demetriou, Ahmed I. Ghanem, Joshua P. Kim, Justine Cunningham, Hassan Bagher-Ebadian, Dongxiao Zhu, Kundan S. Thind",http://arxiv.org/abs/2608.12274v1,,0,2026-08-12T17:13:59Z
1.0,RESEARCH_PAPER,Convergent Detour Hijacking: Task-Preserving Resource Amplification in Skill-Based LLM Agents,"Junliang Liu, Ruoyu Li, Wenxin Tang, Jingyu Xiao, Zhenyu Liu, Jingheng Xu, Laizhong Cui",http://arxiv.org/abs/2608.12273v1,,0,2026-08-12T17:12:49Z
1.0,RESEARCH_PAPER,Diagram-MMU: A Multi-Modal Benchmark for Scientific Diagrams,"Weihao Bo, Shan Zhang, Yanpeng Sun, Jie Liu, Yongke Yao, Jinhao Du, Wei He, Kai Zou, Zechao Li, Jingdong Wang",http://arxiv.org/abs/2608.12262v1,,0,2026-08-12T17:04:13Z
1.0,RESEARCH_PAPER,One Frozen Simulator Is Not Enough: Simulator Collapse in Multi-Agent RL,"Simon Yu, Nicholas Tomlin, Marwa Abdulhai, Ximing Lu, Derek Chong, Abe Hou, Dilara Soylu, Sergey Levine, Christopher D. Manning, Weiyan Shi",http://arxiv.org/abs/2608.12253v1,,0,2026-08-12T16:55:50Z
1.0,RESEARCH_PAPER,An Agentic Workflow for Legacy HPC Modernization: Converting the Two-Electron-Integral Core of GAMESS,"Yuzhong Shen, Masha Sosonkina, Peng Xu, Mark S. Gordon",http://arxiv.org/abs/2608.12249v1,,0,2026-08-12T16:48:47Z
1.0,RESEARCH_PAPER,VICBench: A Multi-Language Benchmark for Code Vulnerability Detection,"Jin Lu, Xuening Han, Yang Zhong, Lin Tan, Kevin Luo, Andrew Gacek, Neha Rungta",http://arxiv.org/abs/2608.12246v1,,0,2026-08-12T16:45:49Z
